Player,YearEnd,CareerPts,Rank
George Mikan,1950,1865,1
Alex Groza,1950,1496,2
Frankie Brian,1950,1138,3
Max Zaslofsky,1950,1115,4
Ed Macauley,1950,1081,5
Dolph Schayes,1950,1072,6
Carl Braun,1950,1031,7
Kenny Sailors,1950,987,8
Jim Pollard,1950,973,9
Fred Schaus,1950,972,10
George Mikan,1951,3797,1
Alex Groza,1951,2925,2
Ed Macauley,1951,2465,3
Frankie Brian,1951,2282,4
Joe Fulks,1951,2201,5
Dolph Schayes,1951,2193,6
Ralph Beard,1951,2006,7
Fred Schaus,1951,2000,8
Max Zaslofsky,1951,1950,9
Dike Eddleman,1951,1866,10
George Mikan,1952,5320,1
Ed Macauley,1952,3729,2
Frankie Brian,1952,3333,3
Joe Fulks,1952,3123,4
Dolph Schayes,1952,3061,5
Alex Groza,1952,2925,6
Bob Davies,1952,2902,7
Max Zaslofsky,1952,2881,8
Fred Schaus,1952,2872,9
Paul Arizin,1952,2795,10
George Mikan,1953,6762,1
Ed Macauley,1953,5131,2
Dolph Schayes,1953,4323,3
Frankie Brian,1953,4059,4
Joe Fulks,1953,3955,5
Bob Davies,1953,3931,6
Bob Cousy,1953,3918,7
Vern Mikkelsen,1953,3751,8
Arnie Risen,1953,3618,9
Fred Schaus,1953,3595,10
George Mikan,1954,8068,1
Ed Macauley,1954,6475,2
Dolph Schayes,1954,5551,3
Bob Cousy,1954,5301,4
Bob Davies,1954,4818,5
Arnie Risen,1954,4567,6
Vern Mikkelsen,1954,4548,7
Bobby Wanzer,1954,4538,8
Frankie Brian,1954,4460,9
Jim Pollard,1954,4297,10
George Mikan,1955,8068,1
Ed Macauley,1955,7723,2
Dolph Schayes,1955,6884,3
Bob Cousy,1955,6805,4
Vern Mikkelsen,1955,5875,5
Bob Davies,1955,5690,6
Bobby Wanzer,1955,5480,7
Arnie Risen,1955,5364,8
Neil Johnston,1955,5336,9
Harry Gallatin,1955,5256,10
Ed Macauley,1956,8963,1
George Mikan,1956,8458,2
Dolph Schayes,1956,8356,3
Bob Cousy,1956,8161,4
Neil Johnston,1956,6883,5
Vern Mikkelsen,1956,6837,6
Larry Foust,1956,6365,7
Harry Gallatin,1956,6258,8
